Timestep ;Biomass (MW);Energy storage (MW);Fossil Brown coal/Lignite (MW);Fossil Coal-derived gas (MW);Fossil Gas (MW);Fossil Hard coal (MW);Fossil Oil (MW);Fossil Oil shale (MW);Fossil Peat (MW);Geothermal (MW);Hydro Pumped Storage (MW);Hydro Run-of-river and pondage (MW);Hydro Water Reservoir (MW);Marine (MW);Nuclear (MW);Other (MW);Other renewable (MW);Solar (MW);Waste (MW);Wind Offshore (MW);Wind Onshore (MW)
10/02/2024 15:00:00 - 10/02/2024 16:00:00;380.30;n/e;n/e;n/e;165.00;0.00;n/e;n/e;n/e;n/e;0.00;610.90;220.40;n/e;n/e;28.00;n/e;1236.30;n/e;23.10;4208.90
10/02/2024 16:00:00 - 10/02/2024 17:00:00;379.20;n/e;n/e;n/e;165.50;0.00;n/e;n/e;n/e;n/e;0.00;669.70;270.20;n/e;n/e;28.60;n/e;1053.30;n/e;22.60;4152.20
10/02/2024 17:00:00 - 10/02/2024 18:00:00;378.30;n/e;n/e;n/e;165.20;0.00;n/e;n/e;n/e;n/e;9.40;920.80;249.10;n/e;n/e;28.10;n/e;550.10;n/e;20.90;4087.60
10/02/2024 18:00:00 - 10/02/2024 19:00:00;373.90;n/e;n/e;n/e;167.10;0.00;n/e;n/e;n/e;n/e;170.70;1376.60;453.60;n/e;n/e;27.70;n/e;135.40;n/e;21.10;3817.10
10/02/2024 19:00:00 - 10/02/2024 20:00:00;373.90;n/e;n/e;n/e;174.80;0.00;n/e;n/e;n/e;n/e;902.60;1764.80;588.10;n/e;n/e;26.80;n/e;0.20;n/e;23.20;3566.20
10/02/2024 20:00:00 - 10/02/2024 21:00:00;378.30;n/e;n/e;n/e;183.00;0.00;n/e;n/e;n/e;n/e;1226.90;1959.30;761.70;n/e;n/e;27.80;n/e;0.10;n/e;11.90;3306.00
10/02/2024 21:00:00 - 10/02/2024 22:00:00;373.10;n/e;n/e;n/e;182.70;0.00;n/e;n/e;n/e;n/e;1911.70;2041.80;753.00;n/e;n/e;27.20;n/e;0.10;n/e;8.20;2668.50
10/02/2024 22:00:00 - 10/02/2024 23:00:00;385.10;n/e;n/e;n/e;179.80;0.00;n/e;n/e;n/e;n/e;478.30;1849.60;671.20;n/e;n/e;25.80;n/e;0.10;n/e;3.80;2497.80
10/02/2024 23:00:00 - 11/02/2024 00:00:00;386.20;n/e;n/e;n/e;154.50;0.00;n/e;n/e;n/e;n/e;483.60;1562.90;685.10;n/e;n/e;26.30;n/e;0.10;n/e;1.10;2373.30
11/02/2024 00:00:00 - 11/02/2024 01:00:00;391.60;n/e;n/e;n/e;238.90;0.00;n/e;n/e;n/e;n/e;3.20;1203.80;639.80;n/e;n/e;29.10;n/e;0.10;n/e;2.60;2038.00
11/02/2024 01:00:00 - 11/02/2024 02:00:00;394.30;n/e;n/e;n/e;324.80;0.00;n/e;n/e;n/e;n/e;0.10;1031.80;477.80;n/e;n/e;29.60;n/e;0.00;n/e;5.90;1820.50
11/02/2024 02:00:00 - 11/02/2024 03:00:00;393.80;n/e;n/e;n/e;440.80;0.00;n/e;n/e;n/e;n/e;0.00;1149.30;335.20;n/e;n/e;30.30;n/e;0.00;n/e;0.00;1506.20
11/02/2024 03:00:00 - 11/02/2024 04:00:00;389.70;n/e;n/e;n/e;417.60;0.00;n/e;n/e;n/e;n/e;0.00;1126.00;220.40;n/e;n/e;27.90;n/e;0.10;n/e;2.80;1228.80
11/02/2024 04:00:00 - 11/02/2024 05:00:00;391.60;n/e;n/e;n/e;414.00;0.00;n/e;n/e;n/e;n/e;0.00;1489.50;261.40;n/e;n/e;28.40;n/e;0.10;n/e;0.40;1300.10
11/02/2024 05:00:00 - 11/02/2024 06:00:00;388.20;n/e;n/e;n/e;448.40;0.00;n/e;n/e;n/e;n/e;0.00;1561.10;263.20;n/e;n/e;27.80;n/e;0.10;n/e;1.00;1293.10
11/02/2024 06:00:00 - 11/02/2024 07:00:00;389.20;n/e;n/e;n/e;403.70;0.00;n/e;n/e;n/e;n/e;0.00;1273.90;243.00;n/e;n/e;29.20;n/e;0.10;n/e;3.80;1423.40
